GroupContents,singleContents,clctitem,MinVal,MaxVal,Unit,digit length,SingleMethodName,isUse(1/0),Audi Nor,Audi Mir,Pors Nor,Pors Mir,Mas Nor,Pors FL Nor,E_UP,Pors FL Mir,selfDiag1
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,1,0,0,0,0,0,0,0,
Connection Check PLUS,Connection Check PLUS,WMAMTQ4201,1.5,5,nF,1,ConnectionCheck1,1,1,0,0,0,0,0,0,0,
IR PLUS,Insulation Resistance Test PLUS,WMAMTQ4202,500,60001,Mohm,3,InsulationResistance1,1,1,0,0,0,0,0,0,0,
Withstand Voltage PLUS,Withstand Voltage Test PLUS,WMAMTQ4203,0,0.1,mA,3,WithstandVoltage1,1,1,0,0,0,0,0,0,0,
Connection Check 2 PLUS,Connection Check 2 PLUS,WMAMTQ4204,1.5,5,nF,1,ConnectionCheck2,1,1,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,1,0,0,0,0,0,0,
Connection Check PLUS,Connection Check PLUS,WMAMTQ4201,0,1000,nF,1,ConnectionCheck1,1,0,1,0,0,0,0,0,0,
IR PLUS,Insulation Resistance Test PLUS,WMAMTQ4202,0,999999,Mohm,3,InsulationResistance1,1,0,1,0,0,0,0,0,0,
Withstand Voltage PLUS,Withstand Voltage Test PLUS,WMAMTQ4203,0,1000,mA,3,WithstandVoltage1,1,0,1,0,0,0,0,0,0,
Connection Check 2 PLUS,Connection Check 2 PLUS,WMAMTQ4204,0,1000,nF,1,ConnectionCheck2,1,0,1,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,1,0,0,0,0,0,
Connection Check PLUS,Connection Check PLUS,WMPMTQ4201,0.84,100,nF,1,ConnectionCheck1,1,0,0,1,0,0,0,0,0,
Withstand Voltage PLUS,Withstand Voltage Test PLUS,WMPMTQ4202,0,0.025,mA,3,WithstandVoltage1,1,0,0,1,0,0,0,0,0,
IR PLUS,Insulation Resistance Test PLUS,WMPMTQ4203,2000,60001,Mohm,3,InsulationResistance1,1,0,0,1,0,0,0,0,0,
Connection Check 2 PLUS,Connection Check 2 PLUS,WMPMTQ4204,0.84,100,nF,1,ConnectionCheck2,1,0,0,1,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,0,1,0,0,0,0,
Connection Check PLUS,Connection Check PLUS,WMPMTQ4201,0.84,100,nF,1,ConnectionCheck1,1,0,0,0,1,0,0,0,0,
Withstand Voltage PLUS,Withstand Voltage Test PLUS,WMPMTQ4202,0,0.025,mA,3,WithstandVoltage1,1,0,0,0,1,0,0,0,0,
IR PLUS,Insulation Resistance Test PLUS,WMPMTQ4203,3000,60001,Mohm,3,InsulationResistance1,1,0,0,0,1,0,0,0,0,
Connection Check 2 PLUS,Connection Check 2 PLUS,WMPMTQ4204,0.84,100,nF,1,ConnectionCheck2,1,0,0,0,1,0,0,0,0,
,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,0,0,1,0,0,0,
Connection Check PLUS,Connection Check PLUS,WMPMTQ4301,0.84,100,nF,1,ConnectionCheck1,1,0,0,0,0,1,0,0,0,
Withstand Voltage PLUS,Withstand Voltage Test PLUS,WMPMTQ4302,0,1,Mohm,3,WithstandVoltage1,1,0,0,0,0,1,0,0,0,
IR PLUS,Insulation Resistance Test PLUS,WMPMTQ4303,600,999999,mA,3,InsulationResistance1,1,0,0,0,0,1,0,0,0,
Connection Check 2 PLUS,Connection Check 2 PLUS,WMPMTQ4304,0.84,100,nF,1,ConnectionCheck2,1,0,0,0,0,1,0,0,0,
,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,0,0,0,1,0,0,
Connection Check PLUS,Connection Check PLUS,WPFMMTQ4201,1.31,100,nF,1,ConnectionCheck1,1,0,0,0,0,0,1,0,0,
Withstand Voltage PLUS,Withstand Voltage Test PLUS,WPFMMTQ4203,0,1,mA,3,WithstandVoltage1,1,0,0,0,0,0,1,0,0,
IR PLUS,Insulation Resistance Test PLUS,WPFMMTQ4202,1500,60001,Mohm,3,InsulationResistance1,1,0,0,0,0,0,1,0,0,
Connection Check 2 PLUS,Connection Check 2 PLUS,WPFMMTQ4204,1.31,100,nF,1,ConnectionCheck2,1,0,0,0,0,0,1,0,0,
,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,0,0,0,0,1,0,
Connection Check PLUS,Connection Check PLUS,W2M1MTQ4201,2,5,nF,1,ConnectionCheck1,1,0,0,0,0,0,0,1,0,
Withstand Voltage PLUS,Withstand Voltage Test PLUS,W2M1MTQ4203,0,0.015,mA,3,WithstandVoltage1,1,0,0,0,0,0,0,1,0,
IR PLUS,Insulation Resistance Test PLUS,W2M1MTQ4202,9290,60001,Mohm,3,InsulationResistance1,1,0,0,0,0,0,0,1,0,
Connection Check 2 PLUS,Connection Check 2 PLUS,W2M1MTQ4204,2,5,nF,1,ConnectionCheck2,1,0,0,0,0,0,0,1,0,
,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,0,0,0,0,0,1,
Connection Check PLUS,Connection Check PLUS,WPFMMTQ4201,1.31,100,nF,1,ConnectionCheck1,1,0,0,0,0,0,0,0,1,
Withstand Voltage PLUS,Withstand Voltage Test PLUS,WPFMMTQ4203,0,1,mA,3,WithstandVoltage1,1,0,0,0,0,0,0,0,1,
IR PLUS,Insulation Resistance Test PLUS,WPFMMTQ4202,1500,60001,Mohm,3,InsulationResistance1,1,0,0,0,0,0,0,0,1,
Connection Check 2 PLUS,Connection Check 2 PLUS,WPFMMTQ4204,1.31,100,nF,1,ConnectionCheck2,1,0,0,0,0,0,0,0,1,
